Frame,Time (Seconds),qX,qY,qZ,qW,pX,pY,pZ
245,0.680556,-0.004922,0.150891,-0.003012,-0.988534,-1.322118,0.051607,-0.084243
246,0.683333,-0.004524,0.150407,-0.001883,-0.988612,-1.322114,0.051669,-0.084153
247,0.686111,-0.005413,0.150664,-0.001279,-0.988569,-1.322229,0.051919,-0.084256
248,0.688889,-0.005463,0.150743,-0.002559,-0.988555,-1.322288,0.051944,-0.084178
249,0.691667,-0.005270,0.150305,-0.002607,-0.988622,-1.322176,0.051776,-0.084137
250,0.694444,-0.005084,0.150923,-0.003012,-0.988528,-1.322074,0.051625,-0.084233
251,0.697222,-0.005232,0.150102,-0.002822,-0.988653,-1.322207,0.051870,-0.084066
252,0.700000,-0.005874,0.151778,-0.002160,-0.988395,-1.322205,0.051607,-0.084349
253,0.702778,-0.005806,0.150801,-0.001415,-0.988546,-1.322230,0.051923,-0.084249
254,0.705556,-0.005052,0.150890,-0.003133,-0.988533,-1.322026,0.051598,-0.084198
255,0.708333,-0.005122,0.150968,-0.002982,-0.988521,-1.322104,0.051693,-0.084245
256,0.711111,-0.004815,0.150164,-0.002127,-0.988647,-1.322197,0.051653,-0.084106
257,0.713889,-0.005217,0.150895,-0.002932,-0.988532,-1.322075,0.051673,-0.084233
258,0.716667,-0.005236,0.150675,-0.001213,-0.988569,-1.322167,0.051952,-0.084244
259,0.719444,-0.005158,0.150872,-0.003026,-0.988535,-1.322107,0.051629,-0.084235
260,0.722222,-0.005180,0.150707,-0.001081,-0.988564,-1.322227,0.051928,-0.084268
261,0.725000,-0.005083,0.151073,-0.002808,-0.988506,-1.322048,0.051661,-0.084274
262,0.727778,-0.006364,0.150562,-0.002030,-0.988578,-1.322318,0.052201,-0.084221
263,0.730556,-0.005562,0.150263,-0.002718,-0.988627,-1.322182,0.051915,-0.084083
264,0.733333,-0.004485,0.150931,-0.002523,-0.988531,-1.322062,0.051351,-0.084223
265,0.736111,-0.004770,0.150291,-0.002166,-0.988628,-1.322170,0.051637,-0.084065
266,0.738889,-0.004540,0.150256,-0.002058,-0.988635,-1.322099,0.051574,-0.084115
267,0.741667,-0.004758,0.150843,-0.002802,-0.988542,-1.322058,0.051492,-0.084183
268,0.744444,-0.004780,0.150189,-0.002185,-0.988643,-1.322171,0.051783,-0.084094
269,0.747222,-0.004148,0.150512,-0.002721,-0.988596,-1.322093,0.051189,-0.084142
270,0.750000,-0.005325,0.150056,-0.002812,-0.988659,-1.322214,0.051887,-0.084071
271,0.752778,-0.004953,0.150984,-0.002990,-0.988519,-1.322063,0.051641,-0.084224
272,0.755556,-0.004826,0.150771,-0.002166,-0.988555,-1.322238,0.051704,-0.084165
273,0.758333,-0.005107,0.150918,-0.003223,-0.988528,-1.322047,0.051489,-0.084205
274,0.761111,-0.006243,0.151068,-0.001328,-0.988503,-1.322340,0.052128,-0.084312
275,0.763889,-0.005401,0.150321,-0.002727,-0.988619,-1.322218,0.051847,-0.084106
276,0.766667,-0.004575,0.149908,-0.001915,-0.988687,-1.322154,0.051694,-0.084122
277,0.769444,-0.004894,0.149866,-0.003357,-0.988689,-1.322139,0.051769,-0.083971
278,0.772222,-0.005154,0.150116,-0.002476,-0.988652,-1.322144,0.051808,-0.084092
279,0.775000,-0.006387,0.151115,-0.001774,-0.988494,-1.322361,0.052166,-0.084269
280,0.777778,-0.005140,0.151030,-0.003076,-0.988511,-1.322025,0.051616,-0.084248
281,0.780556,-0.005145,0.150748,-0.003286,-0.988553,-1.322149,0.051466,-0.084140
282,0.783333,-0.004748,0.150189,-0.002278,-0.988643,-1.322165,0.051766,-0.084076
283,0.786111,-0.006183,0.150759,-0.001630,-0.988550,-1.322245,0.052193,-0.084288
284,0.788889,-0.005693,0.150621,-0.001581,-0.988574,-1.322253,0.051991,-0.084245
285,0.791667,-0.005177,0.150995,-0.003024,-0.988516,-1.322049,0.051589,-0.084210
286,0.794444,-0.005110,0.149988,-0.002572,-0.988671,-1.322244,0.051870,-0.084053
